ID,Rank,Name,Icon,Frame,Level,Gear Tier,TCP,STP,War MVP,Characters Collected,Roster Share,Days In Alliance
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:0,member,Dohko,https://assets.marvelstrikeforce.com/imgs/Portrait_SuperSkrull_472556f4.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,262259039,11071801,42,369,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:1,leader,Joseoooo,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_MYSTICARTS_8a961ca2.png,110,110,219981083,11362182,29,357,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:2,member,Babouche,https://assets.marvelstrikeforce.com/imgs/Portrait_Warlock_9612139b.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,246293134,12000610,5,370,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:3,member,Tornnheart,https://assets.marvelstrikeforce.com/imgs/Portrait_PVE_Boss_Knull_312e5190.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WORTHY26_fd316be3.png,110,110,273435793,14977337,8,371,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:4,member,Clemino,https://assets.marvelstrikeforce.com/imgs/Portrait_Beast_ce022c35.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_POOLPARTY_POP_a69aea2c.png,110,110,255864825,10545160,64,371,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:5,member,Arad,https://assets.marvelstrikeforce.com/imgs/Portrait_StrangeSupreme_514d1e83.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD8_1_9ebe07eb.png,110,110,259052926,14612295,6,371,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:6,member,TonyStark,https://assets.marvelstrikeforce.com/imgs/Portrait_Kahhori_f90dd48b.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WORTHY26_fd316be3.png,110,110,261232508,12931382,68,370,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:7,member,Jeji,https://assets.marvelstrikeforce.com/imgs/Portrait_Venom_1476f6dd.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,313868720,14915428,1,369,true,320
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:8,member,M4TT,https://assets.marvelstrikeforce.com/imgs/Portrait_ZombieKestrel_d82c0f76.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,252833298,14716965,22,369,true,319
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:9,member,Jerem76,https://assets.marvelstrikeforce.com/imgs/Portrait_OldManLogan_d9559148.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,220613729,10180685,43,369,true,319
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:10,member,Shikiro,https://assets.marvelstrikeforce.com/imgs/Portrait_Groot_5cc29671.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,289906093,14118065,4,370,true,319
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:11,member,bleach972,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,110,110,262523341,10546584,99,370,true,319
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:12,member,T6K,https://assets.marvelstrikeforce.com/imgs/Portrait_SuperiorSpiderMan_1d666ce8.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,238533223,13170149,16,369,true,185
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:13,member,⚔️Zabuza⚔️,https://assets.marvelstrikeforce.com/imgs/Portrait_DarkBeast_bd1163f3.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_THUNDERSTRIKE_01_5568f642.png,110,110,321057734,15038218,41,369,true,172
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:14,member,Ren-Nagi,https://assets.marvelstrikeforce.com/imgs/Portrait_SuperiorSpiderMan_1d666ce8.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,225849958,12292172,3,369,true,108
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:15,member,Yayoo,https://assets.marvelstrikeforce.com/imgs/ICON_PLAYERICON_WEBLAUNCH_SCARLETWITCH_04ce8d8f.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,280725662,14483648,61,369,true,98
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:16,member,jay,https://assets.marvelstrikeforce.com/imgs/Portrait_MrSinister_97f27c35.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,167111207,9444465,,369,true,88
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:17,captain,Keryas II,https://assets.marvelstrikeforce.com/imgs/Portrait_Bishop_43998bed.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,262345949,13213734,5,371,true,88
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:18,member,project one,https://assets.marvelstrikeforce.com/imgs/Portrait_JeffTheLandShark_e45dd9e2.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,251049183,13242238,10,369,true,87
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:19,member,Yanou,https://assets.marvelstrikeforce.com/imgs/Portrait_SymbioteSpiderMan_7225d4e8.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,305456244,16487629,150,370,true,55
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:20,member,Lorne,https://assets.marvelstrikeforce.com/imgs/Portrait_SpiderManNoir_784aae26.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,239388698,11987698,3,369,true,55
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:21,member,Azerty,https://assets.marvelstrikeforce.com/imgs/Portrait_Gambit_27e36668.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_THUNDERSTRIKE_02_a033544a.png,110,110,218753958,11278283,7,369,true,32
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:22,member,BeLZéBuT,https://assets.marvelstrikeforce.com/imgs/Portrait_Mephisto_9c8a7c7e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,298220301,13979374,57,371,true,25
20001235967:cc8e2454-b8b4-4632-8b48-0c305a1b1c4d:23,member,Keryas IV,https://assets.marvelstrikeforce.com/imgs/Portrait_DaimonHellstrom_d20f82b9.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,184749074,10053545,46,367,true,24
