ID,Rank,Name,Icon,Frame,Level,Gear Tier,TCP,STP,War MVP,Characters Collected,Roster Share,Days In Alliance
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:0,leader,Pelleas,https://assets.marvelstrikeforce.com/imgs/Portrait_Odin_c27c7498.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_HELLCAT_0554775f.png,110,110,273892308,12694259,160,371,true,2997
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:1,captain,Steph,https://assets.marvelstrikeforce.com/imgs/Portrait_Mephisto_9c8a7c7e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,226519468,12236115,17,366,true,2286
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:2,member,Zeeroo,https://assets.marvelstrikeforce.com/imgs/ICON_PLAYERICON_WEBLAUNCH_SCARLETWITCH_04ce8d8f.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,196180774,10885059,4,369,true,2129
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:3,member,Celiia703,https://assets.marvelstrikeforce.com/imgs/Portrait_Satana_c988b3c2.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,110,110,188862566,10964483,8,367,true,1852
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:4,member,lool,https://assets.marvelstrikeforce.com/imgs/Portrait_Colossus_07a6a326.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_XMEN97_f4d5819b.png,110,110,211632819,10059132,35,368,true,648
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:5,member,Zerahs,https://assets.marvelstrikeforce.com/imgs/Portrait_SymbioteQuicksilver_3c19011f.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,298363439,16129832,25,371,true,509
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:6,member,Malylys,https://assets.marvelstrikeforce.com/imgs/Portrait_LadyBullseye_7609d6e7.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,167192994,13501605,1,367,true,381
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:7,member,Mowgli,https://assets.marvelstrikeforce.com/imgs/Portrait_Odin_c27c7498.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,230557698,11265180,43,369,true,143
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:8,member,Nébuleuse,https://assets.marvelstrikeforce.com/imgs/Portrait_X23_d15b6740.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_JUNE_2024_132e869c.png,110,110,322313250,14198500,175,371,true,139
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:9,member,Commandant Edi,https://assets.marvelstrikeforce.com/imgs/Portrait_Darkstar_48b9b4e9.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD5_4_a0ef33fa.png,110,110,280056844,14359047,112,370,true,108
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:10,member,Azazel,https://assets.marvelstrikeforce.com/imgs/Portrait_Azazel_c3414ebf.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,237570098,15225002,21,369,true,86
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:11,member,<color=red>JAXX,https://assets.marvelstrikeforce.com/imgs/Portrait_Odin_c27c7498.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WORTHY26_fd316be3.png,110,110,239279538,13565965,6,367,,74
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:12,member,MakaWaa,https://assets.marvelstrikeforce.com/imgs/Portrait_Punisher_c270e1bc.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD8_4_d73e27d1.png,110,110,197646812,11174411,48,367,,59
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:13,captain,Keryas V,https://assets.marvelstrikeforce.com/imgs/Portrait_Ronin_8d80749d.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,98,99,50822221,4256343,66,309,true,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:14,member,Keryas VI,https://assets.marvelstrikeforce.com/imgs/Portrait_Blob_d406a3cf.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_1_d43c397e.png,82,83,6882832,723889,1,198,,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:15,member,<#3be2ff>Seita,https://assets.marvelstrikeforce.com/imgs/Portrait_Venom_1476f6dd.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_0_ab6f69b8.png,97,98,7202905,2145664,,156,,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:16,member,Tenshi,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD4_01_c0ee666b.png,95,96,27697236,2033461,,260,,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:17,member,Bronnar,https://assets.marvelstrikeforce.com/imgs/Portrait_SquirrelGirl_4780e885.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_HOBGOBLIN_866e9dff.png,105,106,166018321,8494417,14,337,true,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:18,member,Apo,https://assets.marvelstrikeforce.com/imgs/Portrait_JeanGrey_9b53bf4a.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_VULTURE_4393cd9b.png,105,106,125542712,8263779,10,347,,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:19,member,ben,https://assets.marvelstrikeforce.com/imgs/Portrait_MrSinister_97f27c35.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,105,106,171003199,7758722,13,334,true,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:20,member,Rodrigobay bay !,https://assets.marvelstrikeforce.com/imgs/Portrait_Gorr_27c24f7f.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD8_1_9ebe07eb.png,101,102,109222068,5603515,4,309,true,11
20000026087:50c88131-d99b-4e12-a55e-a6fe66377615:21,member,alex0472,https://assets.marvelstrikeforce.com/imgs/Portrait_SilverSable_ef97ab93.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_XMEN97_f4d5819b.png,105,106,155968471,7850476,19,339,true,7
