ID,Rank,Name,Icon,Frame,Level,Gear Tier,TCP,STP,War MVP,Characters Collected,Roster Share,Days In Alliance
20000877446:5488f328-bd18-402c-811d-01d770029825:0,member,LordTJ,https://assets.marvelstrikeforce.com/imgs/Portrait_Hulkbuster_8235ee50.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,251969459,13996992,21,369,true,1517
20000877446:5488f328-bd18-402c-811d-01d770029825:1,captain,Commandant stef0,https://assets.marvelstrikeforce.com/imgs/Portrait_Groot_5cc29671.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,229148438,14342813,56,371,true,991
20000877446:5488f328-bd18-402c-811d-01d770029825:2,captain,sandyloulou,https://assets.marvelstrikeforce.com/imgs/Portrait_BlackCat_1f9ec310.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_PRIDE_a78b934c.png,110,110,376866883,16572584,79,372,true,991
20000877446:5488f328-bd18-402c-811d-01d770029825:3,member,Kayliz,https://assets.marvelstrikeforce.com/imgs/Portrait_Hellcat_78fa897b.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_HELLCAT_0554775f.png,110,110,303600664,15703787,79,370,true,808
20000877446:5488f328-bd18-402c-811d-01d770029825:4,member,ErenHistarion,https://assets.marvelstrikeforce.com/imgs/Portrait_BetaRayBill_5aa11433.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_2025ANNIVERSARY_ea6baa89.png,110,110,298578108,16818847,6,371,true,796
20000877446:5488f328-bd18-402c-811d-01d770029825:5,captain,SupaCarrot,https://assets.marvelstrikeforce.com/imgs/Portrait_MrSinister_97f27c35.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,295008501,12305600,39,370,true,796
20000877446:5488f328-bd18-402c-811d-01d770029825:6,member,Eregast,https://assets.marvelstrikeforce.com/imgs/Portrait_AgentVenom_866cc7bd.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,372622109,15905119,122,370,true,796
20000877446:5488f328-bd18-402c-811d-01d770029825:7,member,Speedy_Arrow,https://assets.marvelstrikeforce.com/imgs/Portrait_IronMan_55dadf73.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,260275432,12740993,13,369,true,795
20000877446:5488f328-bd18-402c-811d-01d770029825:8,leader,Seita,https://assets.marvelstrikeforce.com/imgs/Portrait_UltSpiderMan_1214e2a2.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,282795304,15478804,84,369,true,495
20000877446:5488f328-bd18-402c-811d-01d770029825:9,member,Edge,https://assets.marvelstrikeforce.com/imgs/Portrait_Ronan_7c8c912e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_DAIMONHELLSTROM_8605fa60.png,110,110,192077852,13502247,,370,true,488
20000877446:5488f328-bd18-402c-811d-01d770029825:10,member,Duthé,https://assets.marvelstrikeforce.com/imgs/Portrait_Yellowjacket_c50d2350.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_THUNDERSTRIKE_03_8b8fba47.png,110,110,199498438,9271959,11,366,true,284
20000877446:5488f328-bd18-402c-811d-01d770029825:11,member,Flo81,https://assets.marvelstrikeforce.com/imgs/Portrait_Rogue_1bdb8429.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_AUG2META2024_0a967beb.png,110,110,301263584,12619391,27,370,true,249
20000877446:5488f328-bd18-402c-811d-01d770029825:12,captain,Defelgar,https://assets.marvelstrikeforce.com/imgs/Portrait_Venom_1476f6dd.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WORTHY26_fd316be3.png,110,110,350457245,16825641,102,370,true,166
20000877446:5488f328-bd18-402c-811d-01d770029825:13,member,Krau,https://assets.marvelstrikeforce.com/imgs/Portrait_SpiderMan_4fdcec3d.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DD6_3_99066d96.png,110,110,337686241,14237948,15,370,true,166
20000877446:5488f328-bd18-402c-811d-01d770029825:14,member,fox wolverine,https://assets.marvelstrikeforce.com/imgs/Portrait_Wolverine_ee1eea4b.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,310340248,15745299,27,370,true,166
20000877446:5488f328-bd18-402c-811d-01d770029825:15,member,Brazz,https://assets.marvelstrikeforce.com/imgs/Portrait_Toxin_13ab057e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,237858546,10584554,24,370,true,166
20000877446:5488f328-bd18-402c-811d-01d770029825:16,member,Spidey,https://assets.marvelstrikeforce.com/imgs/Portrait_SuperiorSpiderMan_1d666ce8.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_0_ab6f69b8.png,110,110,372359610,16170828,116,370,true,166
20000877446:5488f328-bd18-402c-811d-01d770029825:17,captain,Kush,https://assets.marvelstrikeforce.com/imgs/Portrait_OmegaRed_9907edc5.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,354872005,16886788,127,371,true,166
