ID,Rank,Name,Icon,Frame,Level,Gear Tier,TCP,STP,War MVP,Characters Collected,Roster Share,Days In Alliance
20001034470:29686638-8411-4048-a144-994067a82fb4:0,leader,Commandant Qv,https://assets.marvelstrikeforce.com/imgs/Portrait_Deathpool_da382246.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,181289955,9692351,4,356,true,487
20001034470:29686638-8411-4048-a144-994067a82fb4:1,member,Silas,https://assets.marvelstrikeforce.com/imgs/Portrait_BladeMighty_a93a93c7.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,231383521,13202980,1,371,true,466
20001034470:29686638-8411-4048-a144-994067a82fb4:2,member,CîuZz,https://assets.marvelstrikeforce.com/imgs/Portrait_Sybil_a08de12d.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,110,110,212338465,12016048,2,369,true,459
20001034470:29686638-8411-4048-a144-994067a82fb4:3,member,MONSTERX1309,https://assets.marvelstrikeforce.com/imgs/Portrait_CaptainAmericaWW2_6cd2ce8e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_4TH2026_d5af019c.png,110,110,240974036,13319615,2,368,true,319
20001034470:29686638-8411-4048-a144-994067a82fb4:4,captain,Jez,https://assets.marvelstrikeforce.com/imgs/Portrait_Gambit_27e36668.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,222491500,11962869,16,369,true,319
20001034470:29686638-8411-4048-a144-994067a82fb4:5,member,Arsenal29fr,https://assets.marvelstrikeforce.com/imgs/Portrait_StarLord_Annihilation_afe3ce49.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,110,110,255717798,11438439,14,368,true,319
20001034470:29686638-8411-4048-a144-994067a82fb4:6,member,Lilou,https://assets.marvelstrikeforce.com/imgs/Portrait_Satana_c988b3c2.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_THUNDERSTRIKE_02_a033544a.png,110,110,180002120,9786499,2,368,true,319
20001034470:29686638-8411-4048-a144-994067a82fb4:7,member,bonhomsether,https://assets.marvelstrikeforce.com/imgs/Portrait_Iceman_2204cb0a.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_PRIDE_a78b934c.png,110,110,178410377,8972939,7,365,true,319
20001034470:29686638-8411-4048-a144-994067a82fb4:8,member,Mike28000,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,172429755,9910502,4,368,true,318
20001034470:29686638-8411-4048-a144-994067a82fb4:9,member,yank33s,https://assets.marvelstrikeforce.com/imgs/Portrait_Hulkbuster_8235ee50.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WORTHY26_fd316be3.png,110,110,213266615,12603663,16,368,true,318
20001034470:29686638-8411-4048-a144-994067a82fb4:10,member,gwen,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARPAINT_2928fce4.png,110,110,200322856,10320001,,368,true,318
20001034470:29686638-8411-4048-a144-994067a82fb4:11,member,chakibovic,https://assets.marvelstrikeforce.com/imgs/Portrait_Deadpool_445c42aa.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,226328883,13638686,32,370,true,318
20001034470:29686638-8411-4048-a144-994067a82fb4:12,member,Raaaac,https://assets.marvelstrikeforce.com/imgs/Portrait_Mephisto_9c8a7c7e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,186201433,11772583,19,370,true,193
20001034470:29686638-8411-4048-a144-994067a82fb4:13,member,Guastafeste,https://assets.marvelstrikeforce.com/imgs/Portrait_NightNurse_467cf4f9.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_0_ab6f69b8.png,110,110,244681021,14552811,158,368,true,184
20001034470:29686638-8411-4048-a144-994067a82fb4:14,member,BlackBird,https://assets.marvelstrikeforce.com/imgs/Portrait_TChalla_da5ab63e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,177814568,9063739,2,367,true,183
