ID,Rank,Name,Icon,Frame,Level,Gear Tier,TCP,STP,War MVP,Characters Collected,Roster Share,Days In Alliance
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:0,leader,Keryas I,https://assets.marvelstrikeforce.com/imgs/Portrait_Cosmo_b4fdf024.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,354744877,15585462,19,371,true,2638
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:1,captain,Unhappy Miky,https://assets.marvelstrikeforce.com/imgs/Portrait_Toxin_13ab057e.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DECEMBER2023_9cc5dfcd.png,110,110,333802639,15383105,38,371,true,2062
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:2,member,Leenos,https://assets.marvelstrikeforce.com/imgs/Portrait_HitMonkey_68aa16e7.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_BATTLEWORLDKNULL_e1e67e5d.png,110,110,455390100,16543867,74,372,true,1677
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:3,member,Commander King J,https://assets.marvelstrikeforce.com/imgs/Portrait_Apocalypse_a29770e5.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_APOCALYPSE_1_0c3ca9de.png,110,110,315239840,14642604,120,370,true,1628
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:4,member,Kakashi,https://assets.marvelstrikeforce.com/imgs/Portrait_Azazel_c3414ebf.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,369921494,16036406,75,370,true,1579
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:5,member,Yuggi94,https://assets.marvelstrikeforce.com/imgs/Portrait_Ghost_d99d64f7.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_WEBLAUNCH_SCARLETWITCHFRAME_e2571dde.png,110,110,282957729,13757169,22,371,true,1389
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:6,member,Lord Fanfan,https://assets.marvelstrikeforce.com/imgs/Portrait_StormMighty_88e12023.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_DANGERROOM_DAIMONHELLSTROM_8605fa60.png,110,110,350757618,13632530,45,371,true,1368
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:7,member,lolodomi,https://assets.marvelstrikeforce.com/imgs/Portrait_Odin_c27c7498.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,340788961,15106654,63,370,true,1108
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:8,member,Espanol31,https://assets.marvelstrikeforce.com/imgs/Portrait_IronFistOrson_e312d26b.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_8YEARCOMIC_82ac1d3c.png,110,110,288422527,13392921,18,369,true,829
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:9,member,Leish,https://assets.marvelstrikeforce.com/imgs/Portrait_InvisibleWomanMCU_07da6224.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_ROGUELIKE_F4_05_5974db80.png,110,110,483844955,17935156,106,372,true,634
20000768796:8a7df452-459d-445e-b7a1-3bd44562e8e5:10,member,TheMac,https://assets.marvelstrikeforce.com/imgs/Portrait_SpiderMan_4fdcec3d.png,https://assets.marvelstrikeforce.com/imgs/ICON_FRAME_0_ab6f69b8.png,110,110,346762840,13865398,73,371,true,493
